"","date","concentration"
"1","1958-03-29",316.19
"2","1958-04-05",317.31
"3","1958-04-12",317.69
"4","1958-04-19",317.58
"5","1958-04-26",316.48
"6","1958-05-03",316.95
"7","1958-05-17",317.56
"8","1958-05-24",317.99
"9","1958-07-05",315.85
"10","1958-07-12",315.85
"11","1958-07-19",315.46
"12","1958-07-26",315.59
"13","1958-08-02",315.64
"14","1958-08-09",315.1
"15","1958-08-16",315.09
"16","1958-08-30",314.14
"17","1958-09-06",313.54
"18","1958-11-08",313.05
"19","1958-11-15",313.26
"20","1958-11-22",313.57
"21","1958-11-29",314.01
"22","1958-12-06",314.56
"23","1958-12-13",314.41
"24","1958-12-20",314.77
"25","1958-12-27",315.21
"26","1959-01-03",315.24
"27","1959-01-10",315.5
"28","1959-01-17",315.69
"29","1959-01-24",315.86
"30","1959-01-31",315.42
"31","1959-02-14",316.94
"32","1959-02-21",316.61
"33","1959-02-28",316.62
"34","1959-03-07",316.81
"35","1959-03-21",316.73
"36","1959-03-28",316.71
"37","1959-04-04",317.72
"38","1959-04-11",317.12
"39","1959-04-18",317.64
"40","1959-04-25",318.32
"41","1959-05-02",318.27
"42","1959-05-09",318.78
"43","1959-05-16",318.05
"44","1959-05-23",318.43
"45","1959-06-06",318.53
"46","1959-06-13",318.14
"47","1959-06-20",317.88
"48","1959-06-27",317.76
"49","1959-07-04",316.86
"50","1959-07-11",316.83
"51","1959-07-18",316.45
"52","1959-07-25",316.16
"53","1959-08-01",315.62
"54","1959-08-08",314.91
"55","1959-08-22",315
"56","1959-08-29",314.15
"57","1959-09-05",314.45
"58","1959-09-12",313.93
"59","1959-09-19",313.57
"60","1959-09-26",313.54
"61","1959-10-03",313.04
"62","1959-10-10",313.15
"63","1959-10-17",313.43
"64","1959-10-24",313.46
"65","1959-10-31",314.12
"66","1959-11-07",314.42
"67","1959-11-14",314.88
"68","1959-11-21",315.2
"69","1959-11-28",315.11
"70","1959-12-05",315.06
"71","1959-12-12",315.64
"72","1959-12-19",315.86
"73","1959-12-26",315.77
"74","1960-01-02",315.72
"75","1960-01-09",316.4
"76","1960-01-16",316.73
"77","1960-01-23",316.57
"78","1960-01-30",316.68
"79","1960-02-06",316.61
"80","1960-02-13",316.98
"81","1960-02-20",317.42
"82","1960-02-27",317
"83","1960-03-05",316.96
"84","1960-03-12",317.76
"85","1960-03-19",318.07
"86","1960-03-26",317.77
"87","1960-04-02",318.61
"88","1960-04-09",319.34
"89","1960-04-16",319.01
"90","1960-04-23",319.03
"91","1960-04-30",319.77
"92","1960-05-07",319.96
"93","1960-05-14",319.82
"94","1960-05-21",320.04
"95","1960-05-28",320.06
"96","1960-06-04",319.46
"97","1960-06-11",320.08
"98","1960-06-18",319.42
"99","1960-06-25",319.09
"100","1960-07-02",318.18
"101","1960-07-09",318.64
"102","1960-07-16",318.41
"103","1960-07-23",317.91
"104","1960-07-30",317.33
"105","1960-08-06",316.62
"106","1960-08-13",316.7
"107","1960-08-20",315.1
"108","1960-08-27",314.78
"109","1960-09-03",314.72
"110","1960-09-10",314.58
"111","1960-09-17",314.28
"112","1960-09-24",313.33
"113","1960-10-01",313.66
"114","1960-10-08",313.32
"115","1960-10-15",313.92
"116","1960-10-22",314.21
"117","1960-10-29",314.29
"118","1960-11-05",314.5
"119","1960-11-12",315.1
"120","1960-11-19",315.1
"121","1960-11-26",315.41
"122","1960-12-03",315.84
"123","1960-12-10",316.07
"124","1960-12-17",316.21
"125","1960-12-24",316.4
"126","1960-12-31",316.67
"127","1961-01-07",316.73
"128","1961-01-14",317.02
"129","1961-01-21",317.03
"130","1961-01-28",317.01
"131","1961-02-04",317.06
"132","1961-02-11",317.75
"133","1961-02-18",317.94
"134","1961-02-25",318
"135","1961-03-04",318.04
"136","1961-03-11",318.51
"137","1961-03-18",318.92
"138","1961-03-25",318.71
"139","1961-04-01",319.41
"140","1961-04-08",319.55
"141","1961-04-15",318.9
"142","1961-04-22",319.74
"143","1961-04-29",319.67
"144","1961-05-06",320.67
"145","1961-05-13",320.46
"146","1961-05-20",320.61
"147","1961-05-27",320.36
"148","1961-06-03",320.09
"149","1961-06-10",320.02
"150","1961-06-17",319.62
"151","1961-06-24",319.49
"152","1961-07-01",319.26
"153","1961-07-08",319.07
"154","1961-07-15",318.49
"155","1961-07-22",317.16
"156","1961-07-29",317.97
"157","1961-08-05",317.91
"158","1961-08-12",317.33
"159","1961-08-19",316.76
"160","1961-08-26",315.26
"161","1961-09-02",315.28
"162","1961-09-09",314.97
"163","1961-09-16",314.53
"164","1961-09-23",315.06
"165","1961-09-30",315.61
"166","1961-10-07",314.97
"167","1961-10-14",315.43
"168","1961-10-21",315.48
"169","1961-10-28",315.72
"170","1961-11-04",315.82
"171","1961-11-11",315.7
"172","1961-11-18",316.21
"173","1961-11-25",316.55
"174","1961-12-02",316.52
"175","1961-12-09",317.02
"176","1961-12-16",316.94
"177","1961-12-23",317.18
"178","1961-12-30",317.46
"179","1962-01-06",317.99
"180","1962-01-13",318.12
"181","1962-01-20",318.07
"182","1962-01-27",317.78
"183","1962-02-03",318.08
"184","1962-02-10",318.35
"185","1962-02-17",318.92
"186","1962-02-24",319.38
"187","1962-03-03",319.28
"188","1962-03-10",319.46
"189","1962-03-17",319.95
"190","1962-03-24",319.78
"191","1962-03-31",320.27
"192","1962-04-07",320.26
"193","1962-04-14",321.03
"194","1962-04-21",320.78
"195","1962-04-28",320.36
"196","1962-05-05",320.89
"197","1962-05-12",320.78
"198","1962-05-19",321.05
"199","1962-05-26",321.16
"200","1962-06-02",320.91
"201","1962-06-09",320.87
"202","1962-06-16",320.52
"203","1962-06-23",320.15
"204","1962-06-30",320.23
"205","1962-07-07",320.1
"206","1962-07-14",319.95
"207","1962-07-21",319.01
"208","1962-07-28",318.75
"209","1962-08-04",318.68
"210","1962-08-11",317.24
"211","1962-08-18",317.48
"212","1962-09-15",316.65
"213","1962-09-22",315.72
"214","1962-09-29",315.92
"215","1962-10-06",315.1
"216","1962-10-13",315.4
"217","1962-10-20",315.72
"218","1962-10-27",315.78
"219","1962-11-03",315.94
"220","1962-11-10",316.49
"221","1962-11-17",316.92
"222","1962-11-24",317.08
"223","1962-12-01",317.19
"224","1962-12-08",317.31
"225","1962-12-15",317.66
"226","1962-12-22",318.18
"227","1963-01-05",318.54
"228","1963-01-12",318.73
"229","1963-01-19",318.9
"230","1963-01-26",318.82
"231","1963-02-02",318.77
"232","1963-02-09",318.95
"233","1963-02-23",319.37
"234","1963-03-02",319.35
"235","1963-03-09",319.7
"236","1963-03-16",319.8
"237","1963-03-23",320.34
"238","1963-03-30",320.29
"239","1963-04-06",320.38
"240","1963-04-13",320.96
"241","1963-04-20",322.05
"242","1963-04-27",321.92
"243","1963-05-11",321.97
"244","1963-05-18",322.28
"245","1963-05-25",322.27
"246","1963-06-01",322.32
"247","1963-06-08",322.09
"248","1963-06-15",321.83
"249","1963-06-22",320.88
"250","1963-06-29",320.49
"251","1963-07-06",320.12
"252","1963-07-13",319.82
"253","1963-07-20",319.56
"254","1963-07-27",319.06
"255","1963-08-03",318.6
"256","1963-08-10",318.27
"257","1963-08-17",317.73
"258","1963-08-24",317.12
"259","1963-08-31",316.44
"260","1963-09-07",316.81
"261","1963-09-14",315.99
"262","1963-09-21",316.03
"263","1963-09-28",315.93
"264","1963-10-05",316.28
"265","1963-10-12",315.65
"266","1963-10-19",316.14
"267","1963-10-26",316.36
"268","1963-11-02",316.63
"269","1963-11-09",316.83
"270","1963-11-16",317.13
"271","1963-11-30",317.56
"272","1963-12-07",318.07
"273","1963-12-14",318.27
"274","1963-12-21",318.59
"275","1963-12-28",318.74
"276","1964-01-04",319.04
"277","1964-01-11",319.49
"278","1964-01-18",319.88
"279","1964-05-30",322.07
"280","1964-06-06",322.06
"281","1964-06-27",321.57
"282","1964-07-04",321.14
"283","1964-07-11",319.95
"284","1964-07-18",320.28
"285","1964-07-25",320.02
"286","1964-08-01",319.14
"287","1964-08-15",318.61
"288","1964-08-22",318.23
"289","1964-08-29",318.11
"290","1964-09-05",317.48
"291","1964-09-12",316.57
"292","1964-09-19",315.59
"293","1964-09-26",317.01
"294","1964-10-03",316.93
"295","1964-10-10",316.51
"296","1964-10-17",316.86
"297","1964-10-24",317.05
"298","1964-10-31",317.65
"299","1964-11-07",317.77
"300","1964-11-14",317.65
"301","1964-11-21",317.52
"302","1964-11-28",318.11
"303","1964-12-05",318.42
"304","1964-12-12",318.58
"305","1964-12-19",318.93
"306","1964-12-26",318.91
"307","1965-01-02",319.08
"308","1965-01-09",319.17
"309","1965-01-16",319.16
"310","1965-01-23",319.79
"311","1965-01-30",320.12
"312","1965-02-06",320.2
"313","1965-02-13",320.16
"314","1965-02-20",320.7
"315","1965-02-27",320.89
"316","1965-03-06",321.07
"317","1965-03-13",320.98
"318","1965-03-20",320.49
"319","1965-03-27",321.4
"320","1965-04-03",321.95
"321","1965-04-10",322.27
"322","1965-04-17",322.17
"323","1965-04-24",321.86
"324","1965-05-01",322.46
"325","1965-05-08",322.22
"326","1965-05-15",321.94
"327","1965-05-22",321.69
"328","1965-05-29",322.26
"329","1965-06-05",321.87
"330","1965-06-12",321.77
"331","1965-06-19",321.77
"332","1965-06-26",321.99
"333","1965-07-03",321.97
"334","1965-07-10",321.85
"335","1965-07-17",321.76
"336","1965-07-24",320.47
"337","1965-07-31",319.49
"338","1965-08-07",319.47
"339","1965-08-14",318.02
"340","1965-08-21",318.82
"341","1965-08-28",318.73
"342","1965-09-04",318.39
"343","1965-09-11",318.05
"344","1965-09-18",318.26
"345","1965-09-25",316.85
"346","1965-10-02",316.6
"347","1965-10-09",317.26
"348","1965-10-16",317.86
"349","1965-10-23",317.56
"350","1965-10-30",317.63
"351","1965-11-06",318.3
"352","1965-11-13",319.26
"353","1965-11-20",318.99
"354","1965-11-27",319.17
"355","1965-12-04",319.09
"356","1965-12-11",319.37
"357","1965-12-18",319.39
"358","1965-12-25",319.7
"359","1966-01-01",319.69
"360","1966-01-08",320.49
"361","1966-01-15",320.63
"362","1966-01-22",321.09
"363","1966-01-29",321.16
"364","1966-02-05",321.26
"365","1966-02-12",321.75
"366","1966-02-19",321.67
"367","1966-02-26",321.8
"368","1966-03-05",322.1
"369","1966-03-12",322.14
"370","1966-03-19",322.57
"371","1966-03-26",322.86
"372","1966-04-02",323.55
"373","1966-04-09",323.62
"374","1966-04-16",323.88
"375","1966-04-23",323.91
"376","1966-04-30",323.53
"377","1966-05-07",324
"378","1966-05-14",324.1
"379","1966-05-21",323.72
"380","1966-05-28",324.31
"381","1966-06-04",324.02
"382","1966-06-11",323.88
"383","1966-06-18",323.75
"384","1966-06-25",323.32
"385","1966-07-02",322.82
"386","1966-07-09",322.9
"387","1966-08-06",321.31
"388","1966-08-13",320.85
"389","1966-08-20",319.16
"390","1966-08-27",319.64
"391","1966-09-03",319.94
"392","1966-09-10",318.22
"393","1966-09-17",318.46
"394","1966-09-24",318.31
"395","1966-10-01",317.9
"396","1966-10-08",317.9
"397","1966-10-15",318.21
"398","1966-10-22",318.61
"399","1966-10-29",318.39
"400","1966-11-12",319.59
"401","1966-11-19",320.03
"402","1966-11-26",320.24
"403","1966-12-03",320.8
"404","1966-12-10",320.87
"405","1966-12-17",321.16
"406","1966-12-24",321.31
"407","1966-12-31",321.37
"408","1967-01-07",321.92
"409","1967-01-14",322.93
"410","1967-02-04",322.19
"411","1967-02-11",322.23
"412","1967-02-18",322.86
"413","1967-02-25",322.6
"414","1967-03-04",322.94
"415","1967-03-11",322.6
"416","1967-03-18",323.33
"417","1967-03-25",323.24
"418","1967-04-01",323.15
"419","1967-04-08",324.21
"420","1967-04-15",324.41
"421","1967-04-22",324.6
"422","1967-04-29",325.16
"423","1967-05-06",325.26
"424","1967-05-13",324.78
"425","1967-05-20",325.09
"426","1967-05-27",324.94
"427","1967-06-03",324.95
"428","1967-06-10",324.65
"429","1967-06-17",323.31
"430","1967-06-24",323.5
"431","1967-07-01",322.89
"432","1967-07-08",322.85
"433","1967-07-15",322.45
"434","1967-07-22",322.4
"435","1967-07-29",322.04
"436","1967-08-05",321.65
"437","1967-08-12",321.4
"438","1967-08-19",320.48
"439","1967-08-26",320.01
"440","1967-09-02",320.07
"441","1967-09-09",319.43
"442","1967-09-16",319.35
"443","1967-09-23",319.03
"444","1967-09-30",318.81
"445","1967-10-07",318.88
"446","1967-10-14",319.86
"447","1967-10-21",319.47
"448","1967-10-28",319.86
"449","1967-11-04",320.01
"450","1967-11-11",320.34
"451","1967-11-18",320.91
"452","1967-11-25",321.54
"453","1967-12-02",321.4
"454","1967-12-09",321.89
"455","1967-12-16",322.29
"456","1967-12-23",321.98
"457","1967-12-30",322.3
"458","1968-01-06",322.46
"459","1968-01-13",322.5
"460","1968-01-20",322.59
"461","1968-01-27",322.83
"462","1968-02-03",322.66
"463","1968-02-10",323.17
"464","1968-02-17",323.46
"465","1968-02-24",323.18
"466","1968-03-02",323.15
"467","1968-03-09",323.85
"468","1968-03-16",323.85
"469","1968-03-23",324.21
"470","1968-03-30",324.77
"471","1968-04-06",324.79
"472","1968-04-13",325.04
"473","1968-04-20",324.84
"474","1968-04-27",325.45
"475","1968-05-04",325.63
"476","1968-05-11",325.09
"477","1968-05-18",325.52
"478","1968-05-25",325.86
"479","1968-06-01",325.67
"480","1968-06-08",325.71
"481","1968-06-15",325.56
"482","1968-06-22",324.99
"483","1968-06-29",324.63
"484","1968-07-06",324.7
"485","1968-07-13",324.13
"486","1968-07-20",323.94
"487","1968-07-27",323.4
"488","1968-08-03",322.49
"489","1968-08-10",322.27
"490","1968-08-17",322.02
"491","1968-08-24",321.74
"492","1968-08-31",321.42
"493","1968-09-07",320.44
"494","1968-09-14",321.18
"495","1968-09-21",319.78
"496","1968-09-28",319.89
"497","1968-10-05",320.57
"498","1968-10-12",320.52
"499","1968-10-19",320.26
"500","1968-10-26",319.92
"501","1968-11-02",320.7
"502","1968-11-09",320.89
"503","1968-11-16",321.4
"504","1968-11-23",321.78
"505","1968-11-30",322.06
"506","1968-12-07",322.44
"507","1968-12-14",322.91
"508","1968-12-21",323.33
"509","1968-12-28",323.19
"510","1969-01-04",323.39
"511","1969-01-11",324.06
"512","1969-01-18",324.36
"513","1969-01-25",324.14
"514","1969-02-01",324.16
"515","1969-02-08",323.92
"516","1969-02-15",324.37
"517","1969-02-22",324.86
"518","1969-03-01",325.14
"519","1969-03-08",325.58
"520","1969-03-15",325.72
"521","1969-03-22",325.96
"522","1969-03-29",325.89
"523","1969-04-05",326.27
"524","1969-04-12",327.13
"525","1969-04-19",326.58
"526","1969-04-26",326.57
"527","1969-05-03",327.52
"528","1969-05-10",327.82
"529","1969-05-17",326.86
"530","1969-05-24",326.92
"531","1969-05-31",327.43
"532","1969-06-07",326.51
"533","1969-06-14",326.78
"534","1969-06-21",326.73
"535","1969-06-28",326.37
"536","1969-07-05",326.16
"537","1969-07-12",326.07
"538","1969-07-19",325.72
"539","1969-07-26",325.47
"540","1969-08-02",324.5
"541","1969-08-09",324.56
"542","1969-08-16",323.14
"543","1969-08-23",322.56
"544","1969-08-30",323.14
"545","1969-09-06",322.21
"546","1969-09-13",322.79
"547","1969-09-20",322.84
"548","1969-09-27",321.96
"549","1969-10-04",321.5
"550","1969-10-11",321.82
"551","1969-10-18",322
"552","1969-10-25",321.93
"553","1969-11-01",322.21
"554","1969-11-08",322.64
"555","1969-11-15",322.78
"556","1969-11-22",323.1
"557","1969-11-29",323.52
"558","1969-12-06",323.91
"559","1969-12-13",323.99
"560","1969-12-20",324.22
"561","1969-12-27",324.5
"562","1970-01-03",324.7
"563","1970-01-10",325.4
"564","1970-01-17",325.05
"565","1970-01-24",324.8
"566","1970-01-31",325.55
"567","1970-02-07",325.7
"568","1970-02-14",326.02
"569","1970-02-21",326.32
"570","1970-02-28",326.17
"571","1970-03-07",326.85
"572","1970-03-14",326.8
"573","1970-03-21",327.51
"574","1970-03-28",326.95
"575","1970-04-04",328.2
"576","1970-04-11",327.84
"577","1970-04-18",327.81
"578","1970-04-25",328.55
"579","1970-05-02",327.99
"580","1970-05-09",327.56
"581","1970-05-16",328.03
"582","1970-05-23",328.33
"583","1970-05-30",327.98
"584","1970-06-06",327.55
"585","1970-06-13",327.86
"586","1970-06-20",327.71
"587","1970-06-27",327.23
"588","1970-07-04",327.29
"589","1970-07-11",326.24
"590","1970-07-18",326.28
"591","1970-07-25",325.63
"592","1970-08-01",325.24
"593","1970-08-08",325.21
"594","1970-08-15",324.86
"595","1970-08-22",324.84
"596","1970-08-29",323.33
"597","1970-09-05",322.97
"598","1970-09-12",323.58
"599","1970-09-19",323.18
"600","1970-09-26",323.15
"601","1970-10-03",323.21
"602","1970-10-10",323.56
"603","1970-10-17",322.92
"604","1970-10-24",323.02
"605","1970-10-31",323.18
"606","1970-11-07",323.69
"607","1970-11-14",323.76
"608","1970-11-21",324.23
"609","1970-11-28",324.71
"610","1970-12-05",324.73
"611","1970-12-12",325
"612","1970-12-19",325.29
"613","1970-12-26",325.58
"614","1971-01-02",325.77
"615","1971-01-09",325.89
"616","1971-01-16",325.9
"617","1971-01-23",326.72
"618","1971-01-30",326.68
"619","1971-02-06",326.55
"620","1971-02-13",326.49
"621","1971-02-20",326.79
"622","1971-02-27",327.05
"623","1971-03-06",327.15
"624","1971-03-13",327.34
"625","1971-03-20",327.08
"626","1971-03-27",327.45
"627","1971-04-03",327.44
"628","1971-04-10",327.1
"629","1971-04-17",327.71
"630","1971-04-24",328.56
"631","1971-05-01",328.2
"632","1971-05-08",329.07
"633","1971-05-15",329.28
"634","1971-05-22",328.92
"635","1971-05-29",328.81
"636","1971-06-05",328.56
"637","1971-06-12",328.8
"638","1971-06-19",328.18
"639","1971-06-26",328.52
"640","1971-07-03",327.92
"641","1971-07-10",327.88
"642","1971-07-17",327.55
"643","1971-07-24",326.21
"644","1971-07-31",326.74
"645","1971-08-07",326.12
"646","1971-08-14",325.61
"647","1971-08-21",325.39
"648","1971-08-28",324.04
"649","1971-09-04",323.65
"650","1971-09-11",323.51
"651","1971-09-18",323.26
"652","1971-09-25",323.3
"653","1971-10-02",323.32
"654","1971-10-09",322.95
"655","1971-10-16",323.52
"656","1971-10-23",323.69
"657","1971-10-30",324.4
"658","1971-11-06",324.36
"659","1971-11-13",324.53
"660","1971-11-20",325.04
"661","1971-11-27",325.51
"662","1971-12-04",325.38
"663","1971-12-11",325.93
"664","1971-12-18",326.28
"665","1971-12-25",326.35
"666","1972-01-01",326.61
"667","1972-01-08",326.67
"668","1972-01-15",326.62
"669","1972-01-22",326.68
"670","1972-01-29",327.24
"671","1972-02-05",327.4
"672","1972-02-12",327.95
"673","1972-02-19",327.83
"674","1972-02-26",327.42
"675","1972-03-04",327.58
"676","1972-03-11",327.16
"677","1972-03-18",327.78
"678","1972-03-25",328.62
"679","1972-04-01",328.97
"680","1972-04-08",329.47
"681","1972-04-15",329.83
"682","1972-04-22",330.13
"683","1972-04-29",330.02
"684","1972-05-06",330.04
"685","1972-05-13",329.75
"686","1972-05-20",330.11
"687","1972-05-27",330.21
"688","1972-06-03",329.71
"689","1972-06-10",329.15
"690","1972-06-17",329.04
"691","1972-06-24",328.52
"692","1972-07-01",328.63
"693","1972-07-08",328.3
"694","1972-07-15",327.72
"695","1972-07-22",328.14
"696","1972-07-29",327.51
"697","1972-08-05",326.92
"698","1972-08-12",326.66
"699","1972-08-19",326.57
"700","1972-08-26",325.05
"701","1972-09-02",325.4
"702","1972-09-09",325.77
"703","1972-09-16",324.81
"704","1972-09-23",324.26
"705","1972-09-30",324.23
"706","1972-10-07",324.88
"707","1972-10-14",325.52
"708","1972-10-21",325.11
"709","1972-10-28",325.86
"710","1972-11-04",326.32
"711","1972-11-11",326.13
"712","1972-11-18",326.44
"713","1972-11-25",326.98
"714","1972-12-02",326.94
"715","1972-12-09",327.16
"716","1972-12-16",327.6
"717","1972-12-23",327.91
"718","1972-12-30",328.26
"719","1973-01-06",328.4
"720","1973-01-13",328.44
"721","1973-01-20",328.66
"722","1973-01-27",328.86
"723","1973-02-03",329.19
"724","1973-02-10",329.53
"725","1973-02-17",329.67
"726","1973-02-24",329.7
"727","1973-03-03",329.95
"728","1973-03-10",330.11
"729","1973-03-17",330.55
"730","1973-03-24",330.83
"731","1973-03-31",330.68
"732","1973-04-07",331.22
"733","1973-04-14",331.1
"734","1973-04-21",331.94
"735","1973-04-28",332.16
"736","1973-05-05",332.21
"737","1973-05-12",332.35
"738","1973-05-19",332.63
"739","1973-05-26",332.58
"740","1973-06-02",332.27
"741","1973-06-09",332.58
"742","1973-06-16",332.02
"743","1973-06-23",331.63
"744","1973-06-30",331.43
"745","1973-07-07",331.53
"746","1973-07-14",331.07
"747","1973-07-21",330.08
"748","1973-07-28",330.13
"749","1973-08-04",330.05
"750","1973-08-11",329.54
"751","1973-08-18",329.36
"752","1973-08-25",328.53
"753","1973-09-01",328.45
"754","1973-09-08",327.65
"755","1973-09-15",327.81
"756","1973-09-22",327.1
"757","1973-09-29",326.6
"758","1973-10-06",327.05
"759","1973-10-13",327.4
"760","1973-10-20",327.48
"761","1973-10-27",327.18
"762","1973-11-03",327.59
"763","1973-11-10",328.02
"764","1973-11-17",328.2
"765","1973-11-24",328.57
"766","1973-12-01",329.05
"767","1973-12-08",328.7
"768","1973-12-15",328.65
"769","1973-12-22",328.24
"770","1973-12-29",328.71
"771","1974-01-05",328.91
"772","1974-01-12",329.29
"773","1974-01-19",329.41
"774","1974-01-26",329.85
"775","1974-02-02",330.54
"776","1974-02-09",330.81
"777","1974-02-16",330.61
"778","1974-02-23",330.68
"779","1974-03-02",330.79
"780","1974-03-09",331.2
"781","1974-03-16",332.11
"782","1974-03-23",332
"783","1974-03-30",331.56
"784","1974-04-06",332.47
"785","1974-04-13",332.14
"786","1974-04-20",332.93
"787","1974-04-27",333.17
"788","1974-05-04",332.95
"789","1974-05-11",333.09
"790","1974-05-18",333.27
"791","1974-05-25",332.87
"792","1974-06-01",332.93
"793","1974-06-08",332.03
"794","1974-06-15",332.03
"795","1974-06-22",332.26
"796","1974-06-29",331.73
"797","1974-07-06",331.73
"798","1974-07-13",331.29
"799","1974-07-20",330.47
"800","1974-07-27",331.02
"801","1974-08-03",330.09
"802","1974-08-10",329.92
"803","1974-08-17",329.29
"804","1974-08-24",328.97
"805","1974-08-31",328.19
"806","1974-09-07",328.03
"807","1974-09-14",327.35
"808","1974-09-21",326.91
"809","1974-09-28",327.38
"810","1974-10-05",327.39
"811","1974-10-12",327.06
"812","1974-10-19",327.56
"813","1974-10-26",327.7
"814","1974-11-02",327.99
"815","1974-11-09",328.09
